DEBUG 2025-11-27 17:56:27,728 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1764245880.102031
DEBUG 2025-11-27 17:56:27,728 autoreload File D:\.venvs\.venv\Lib\site-packages\yaml\_yaml.cp313-win_amd64.pyd first seen with mtime 1764245881.0253105
DEBUG 2025-11-27 17:56:27,728 autoreload File D:\.venvs\.venv\Lib\site-packages\pygments\formatters\html.py first seen with mtime 1764245877.3321373
DEBUG 2025-11-27 17:56:27,729 autoreload File D:\.venvs\.venv\Lib\site-packages\urllib3\_version.py first seen with mtime 1764245877.440069
DEBUG 2025-11-27 17:56:27,729 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\mime\base.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,729 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1764245879.8980317
DEBUG 2025-11-27 17:56:27,729 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1764245879.3773184
DEBUG 2025-11-27 17:56:27,730 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1764245878.7957833
DEBUG 2025-11-27 17:56:27,730 autoreload File D:\.venvs\.venv\Lib\site-packages\yaml\nodes.py first seen with mtime 1764245881.0395298
DEBUG 2025-11-27 17:56:27,730 autoreload File D:\Vortex\apps\services\models.py first seen with mtime 1764244195.5703816
DEBUG 2025-11-27 17:56:27,730 autoreload File D:\.venvs\.venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1764245879.3632324
DEBUG 2025-11-27 17:56:27,730 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1764245880.336455
DEBUG 2025-11-27 17:56:27,731 autoreload File D:\.venvs\.venv\Lib\site-packages\django\test\signals.py first seen with mtime 1764245879.367267
DEBUG 2025-11-27 17:56:27,731 autoreload File D:\.venvs\.venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1764245879.370335
DEBUG 2025-11-27 17:56:27,731 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\http\server.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,732 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1764245879.394817
DEBUG 2025-11-27 17:56:27,732 autoreload File D:\.venvs\.venv\Lib\site-packages\psycopg2\extras.py first seen with mtime 1764245886.0025012
DEBUG 2025-11-27 17:56:27,732 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1764245879.2514029
DEBUG 2025-11-27 17:56:27,733 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1764245879.3927684
DEBUG 2025-11-27 17:56:27,733 autoreload File D:\.venvs\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1764245879.357968
DEBUG 2025-11-27 17:56:27,734 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1764245879.231859
DEBUG 2025-11-27 17:56:27,734 autoreload File D:\.venvs\.venv\Lib\site-packages\django_filters\fields.py first seen with mtime 1764245885.2285278
DEBUG 2025-11-27 17:56:27,734 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\DLLs\_ssl.pyd first seen with mtime 1755210820.0
DEBUG 2025-11-27 17:56:27,735 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,735 autoreload File D:\.venvs\.venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1764245879.3632324
DEBUG 2025-11-27 17:56:27,735 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\html\__init__.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,735 autoreload File D:\.venvs\.venv\Lib\site-packages\django\template\response.py first seen with mtime 1764245879.3563998
DEBUG 2025-11-27 17:56:27,736 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1764245879.225181
DEBUG 2025-11-27 17:56:27,736 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\uuid.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,736 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\encoders.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,737 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1764245879.3879871
DEBUG 2025-11-27 17:56:27,737 autoreload File D:\.venvs\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1764245875.5301614
DEBUG 2025-11-27 17:56:27,737 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\postgres\fields\__init__.py first seen with mtime 1764245878.7927284
DEBUG 2025-11-27 17:56:27,737 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1764245879.3981397
DEBUG 2025-11-27 17:56:27,738 autoreload File D:\.venvs\.venv\Lib\site-packages\django\test\__init__.py first seen with mtime 1764245879.3642354
DEBUG 2025-11-27 17:56:27,738 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\__init__.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,738 autoreload File D:\Vortex\apps\__init__.py first seen with mtime 1764244046.86606
DEBUG 2025-11-27 17:56:27,739 autoreload File D:\.venvs\.venv\Lib\site-packages\pygments\token.py first seen with mtime 1764245877.3193038
DEBUG 2025-11-27 17:56:27,739 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\validators.py first seen with mtime 1764245879.184888
DEBUG 2025-11-27 17:56:27,739 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1764245880.342972
DEBUG 2025-11-27 17:56:27,739 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\logging\config.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,740 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\re\_casefix.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,740 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\test.py first seen with mtime 1764245879.9131534
DEBUG 2025-11-27 17:56:27,740 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1764245879.1930242
DEBUG 2025-11-27 17:56:27,740 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1764245879.1894362
DEBUG 2025-11-27 17:56:27,740 autoreload File D:\.venvs\.venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1764245879.3058872
DEBUG 2025-11-27 17:56:27,741 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1764245879.0852835
DEBUG 2025-11-27 17:56:27,741 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1764245878.7817316
DEBUG 2025-11-27 17:56:27,741 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,741 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,742 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\selectors.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,742 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1764245879.2771378
DEBUG 2025-11-27 17:56:27,742 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,742 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1764245878.976357
DEBUG 2025-11-27 17:56:27,742 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\authentication.py first seen with mtime 1764245885.4715724
DEBUG 2025-11-27 17:56:27,742 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1764245879.1894362
DEBUG 2025-11-27 17:56:27,743 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1764245879.3889854
DEBUG 2025-11-27 17:56:27,743 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1764245879.1930242
